# I_sr[mA]    f_s[Hz]
0.000000e+00 2.573292e+03
5.000000e+00 2.572860e+03
1.000000e+01 2.571563e+03
1.500000e+01 2.569406e+03
2.000000e+01 2.566393e+03
2.500000e+01 2.562530e+03
3.000000e+01 2.557826e+03
3.500000e+01 2.552292e+03
4.000000e+01 2.545938e+03
4.500000e+01 2.538778e+03
5.000000e+01 2.530829e+03
5.500000e+01 2.522105e+03
6.000000e+01 2.512625e+03
6.500000e+01 2.502408e+03
7.000000e+01 2.491474e+03
7.500000e+01 2.479845e+03
8.000000e+01 2.467541e+03
8.500000e+01 2.454588e+03
9.000000e+01 2.441007e+03
9.500000e+01 2.426823e+03
1.000000e+02 2.412060e+03
1.050000e+02 2.396743e+03
1.100000e+02 2.380898e+03
1.150000e+02 2.364549e+03
1.200000e+02 2.347722e+03
1.250000e+02 2.330442e+03
1.300000e+02 2.312733e+03
1.350000e+02 2.294620e+03
1.400000e+02 2.276127e+03
1.450000e+02 2.257279e+03
1.500000e+02 2.238099e+03
1.550000e+02 2.218609e+03
1.600000e+02 2.198833e+03
1.650000e+02 2.178791e+03
1.700000e+02 2.158506e+03
1.750000e+02 2.137996e+03
1.800000e+02 2.117283e+03
1.850000e+02 2.096384e+03
1.900000e+02 2.075319e+03
1.950000e+02 2.054104e+03
2.000000e+02 2.032757e+03
2.050000e+02 2.011293e+03
2.100000e+02 1.989728e+03
2.150000e+02 1.968076e+03
2.200000e+02 1.946350e+03
2.250000e+02 1.924563e+03
2.300000e+02 1.902729e+03
2.350000e+02 1.880857e+03
2.400000e+02 1.858959e+03
2.450000e+02 1.837045e+03
2.500000e+02 1.815124e+03
2.550000e+02 1.793205e+03
2.600000e+02 1.771296e+03
2.650000e+02 1.749404e+03
2.700000e+02 1.727536e+03
2.750000e+02 1.705698e+03
2.800000e+02 1.683897e+03
2.850000e+02 1.662136e+03
2.900000e+02 1.640421e+03
2.950000e+02 1.618756e+03
3.000000e+02 1.597144e+03
3.050000e+02 1.575589e+03
3.100000e+02 1.554092e+03
3.150000e+02 1.532657e+03
3.200000e+02 1.511284e+03
3.250000e+02 1.489976e+03
3.300000e+02 1.468734e+03
3.350000e+02 1.447557e+03
3.400000e+02 1.426446e+03
3.450000e+02 1.405400e+03
3.500000e+02 1.384420e+03
